Anduril USB Hub,,,,,,,,,,,,,,
Description/Use,Manufactuer,Manufactuerer PN,Vender,Vendor PN,Qty Needed per 1 Assy,Qty Needed per 25 Assy,Qty per 1 Order,Cost per 1 Order,Qty ordered,Cost ext,Link,Package,Datasheet,Notes
USB Controller IC,Microchip,USB4604-1080HN,Mouser,579-USB4604-1080HN,1,,1,5.39,1,5.39,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/USB4604-1080HN?qs=Yyy8avaXlIsjmKTrefWvVw%3D%3D,SQFN-48,Link,-
24MHz Crystal,Kyocera AVX,CX3225SB24000D0FFJCC,Mouser,581-CX3225SB24DFFJCC,1,,1,0.73,1,0.73,https://www.mouser.com/ProductDetail/KYOCERA-AVX/CX3225SB24000D0FFJCC?qs=mFMVSnANsC1PXYEKnXOE0A%3D%3D,3.2x2.5,https://media.digikey.com/pdf/Data%20Sheets/AVX%20PDFs/CX3225SByyyyyD0FFJCC_Series_Spec.pdf,-
5k1Ohm Resistor,Bourns,CR0805-FX-5101ELF,Mouser,652-CR0805FX-5101ELF,2,,1,0.13,2,0.26,https://www.mouser.com/ProductDetail/Bourns/CR0805-FX-5101ELF?qs=LA9FZBosJlADRz3sArKRTQ%3D%3D,0805,https://www.mouser.com/datasheet/2/54/cr-1858361.pdf,-
10kOhm Resistor,Bourns,CR0805-JW-103ELF,Mouser,652-CR0805-JW-103ELF,1,,1,0.1,1,0.1,https://www.mouser.com/ProductDetail/Bourns/CR0805-JW-103ELF?qs=3T0Ne7aOLxCPz7FUKqmeVw%3D%3D,0805,https://www.mouser.com/datasheet/2/54/cr-1858361.pdf,-
12kOhm Resistor,Bourns,CR0805-FX-1202ELF,Mouser,652-CR0805FX-1202ELF,1,,1,0.1,1,0.1,https://www.mouser.com/ProductDetail/Bourns/CR0805-FX-1202ELF?qs=Hqdsf0hGw%2FBzMcQsx4jIIQ%3D%3D,0805,https://www.mouser.com/datasheet/2/54/cr-1858361.pdf,-
51kOhm Resistor,Bourns,CMP0805-FX-5102ELF,Mouser,652-CMP0805-FX-5102L,1,,1,0.22,1,0.22,https://www.mouser.com/ProductDetail/Bourns/CMP0805-FX-5102ELF?qs=TiOZkKH1s2SRK5nKkKO%2F%252BQ%3D%3D,0805,https://www.mouser.com/datasheet/2/54/Bourns_CMP_Datasheet_05.28.20-1854233.pdf,-
100kOhm Resistor,Bourns,CHP0805AFX-1003ELF,Mouser,652-CHP0805AFX1003EL,1,,1,0.65,1,0.65,https://www.mouser.com/ProductDetail/Bourns/CHP0805AFX-1003ELF?qs=BJlw7L4Cy79cbJ8BbmBQGw%3D%3D,0805,https://www.mouser.com/datasheet/2/54/chp_a-1858677.pdf,-
8pF Capacitor,Kemet,CBR08C809C5GAC,Mouser,80-CBR08C809C5GAC,2,,1,0.4,2,0.8,https://www.mouser.com/ProductDetail/KEMET/CBR08C809C5GAC?qs=kpVq%2FgIAs52xzS6eiFxjDw%3D%3D,0805,https://www.mouser.com/datasheet/2/212/KEM_C1030_CBR_SMD-1101233.pdf,-
0.1uF Capacitor,Kemet,C0805C104K5RAC7411,Mouser,80-C0805C104K5RACLR,10,,1,0.13,10,1.3,https://www.mouser.com/ProductDetail/KEMET/C0805C104K5RAC7411?qs=jbRM9o5BbzPcVXF0wW9AYg%3D%3D,0805,https://www.mouser.com/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf,-
4.7uF Capacitor,Kemet,C0805C475K8PACTU,Mouser,80-C0805C475K8P,3,,1,0.21,3,0.63,https://www.mouser.com/ProductDetail/KEMET/C0805C475K8PACTU?qs=WPBvHkZDyNObthAoU08r0A%3D%3D,0805,https://www.mouser.com/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf,-
